model_short,attack,n,mean,ci_low,ci_high
Llama-3.1-8B-Instruct,Completion,103,0.7532835641939133,0.6185003492751242,0.8383685418321689
Llama-3.1-8B-Instruct,Ignore-Completion,103,0.6459249358444056,0.4275576008379349,0.8012428311625345
Llama-3.1-8B-Instruct,LLM-Attacks Suffix 1,104,0.3628012114253937,0.2055547652556199,0.5180773536317604
Llama-3.1-8B-Instruct,Ignore,104,0.3440191555406354,0.17121975017524083,0.5403587187920621
Llama-3.1-8B-Instruct,Superuser,101,0.2777311689651732,0.11736571316630316,0.47340981552486155
Llama-3.1-8B-Instruct,StruQ Suffix 2,102,0.2557086417402964,0.11767470049989334,0.4285789371310926
Llama-3.1-8B-Instruct,StruQ Suffix 1,103,0.25216281842409166,0.11673285633845071,0.42364130868562966
Llama-3.1-8B-Instruct,LLM-Attacks Suffix 2,102,0.14598567060546874,0.042751308446638416,0.30064141747464923
Llama-3.1-8B-Instruct,LLM-Attacks Suffix 3,101,0.09636372785218254,0.022009318798625627,0.19425093472931595
Llama-3.2-3B-Instruct,Ignore-Completion,59,0.7447513745294705,0.5708851444143743,0.8506984655460437
Llama-3.2-3B-Instruct,Completion,60,0.7329787181176328,0.5509233323334891,0.8504452058059534
Llama-3.2-3B-Instruct,Ignore,57,0.5210567659125175,0.33180269293606285,0.6975278962606061
Llama-3.2-3B-Instruct,Superuser,60,0.507636163608072,0.3305207574317462,0.6853224779928253
Llama-3.2-3B-Instruct,LLM-Attacks Suffix 1,60,0.26798995381857493,0.07892318832611518,0.44481431155382983
Llama-3.2-3B-Instruct,LLM-Attacks Suffix 3,59,0.23229447059325203,0.08862833720327914,0.4067280268622746
Llama-3.2-3B-Instruct,StruQ Suffix 2,62,0.21051957849673253,0.06123574551391385,0.40962861265513434
Llama-3.2-3B-Instruct,StruQ Suffix 1,62,0.1891136451598388,0.010401606751943142,0.3812324508304677
Llama-3.2-3B-Instruct,LLM-Attacks Suffix 2,62,0.1580719175574705,0.01636971515961591,0.3307746234756045
Llama-3.2-3B-Instruct,Escape-Separation-100,62,0.05590387881350383,0.004625133819043644,0.13387899210572404
Qwen2.5-7B-Instruct,Completion,54,0.7699055646150416,0.6665640886777487,0.869740391546208
Qwen2.5-7B-Instruct,Ignore-Completion,52,0.5463077938565024,0.36008877905966447,0.7274952583342122
Qwen3-8B,Completion,46,0.6197021538244892,0.40670009533998125,0.8045507282464361
Qwen3-8B,Ignore-Completion,52,0.49737585136557005,0.2793377950408456,0.7203748844234065
Qwen3-8B,Superuser,50,0.11909649842412884,0.0024009193535300525,0.3513960835624099
